authorization_notice_id,filing_date,patentee,address,IPC
CN209092567U,2018-05,个人,安徽省,A
CN209092156U,2018-05,个人,福建省,A
CN209092157U,2018-05,个人,广东省,A
CN209102397U,2018-05,公司,河南省,G
CN209091707U,2018-05,个人,湖南省,A
CN209090213U,2018-05,研究所,湖北省,A
CN209090476U,2018-05,公司,浙江省,A
CN209092028U,2018-05,医院,浙江省,A
CN209096453U,2018-05,研究所,江苏省,B
CN209098437U,2018-05,研究所,江苏省,C
CN209103556U,2018-05,公司,福建省,G
CN209103639U,2018-05,公司,安徽省,G
CN209092293U,2018-05,研究所,浙江省,A
CN209096091U,2018-05,个人,四川省,B
CN209098020U,2018-05,公司,江苏省,B
CN209100158U,2018-05,研究所,北京市,F
CN209090412U,2018-05,公司,江苏省,A
CN209102533U,2018-05,学校,广东省,G
CN209103557U,2018-05,公司,浙江省,G
CN209105207U,2018-05,研究所,宁夏回族自治区,H
CN209091985U,2018-05,个人,贵州省,A
CN209090696U,2018-05,公司,福建省,A
CN209090600U,2018-05,公司,广东省,A
CN209097621U,2018-05,公司,山东省,B
CN209099064U,2018-05,公司,四川省,"['D', 'B']"
CN209090142U,2018-05,公司,广东省,A
CN209100229U,2018-05,学校,吉林省,F
CN209090866U,2018-05,公司,广东省,A
CN209105200U,2018-05,研究所,上海市,H
CN209090154U,2018-05,公司,美国,A
CN209090630U,2018-05,公司,江苏省,A
CN209093962U,2018-05,研究所,湖南省,B
CN209096975U,2018-05,个人,内蒙古自治区,B
CN209091272U,2018-05,公司,山东省,A
CN209090517U,2018-05,公司,江苏省,A
CN209103654U,2018-05,公司,上海市,"['G', 'B']"
CN209092244U,2018-05,个人,广东省,A
CN209092508U,2018-05,医院,山东省,A
CN209100047U,2018-05,公司,河北省,E
CN209092177U,2018-05,研究所,浙江省,A
CN209098548U,2018-05,研究所,四川省,C
CN209090979U,2018-06,公司,山东省,A
CN209089813U,2018-06,公司,山东省,A
CN209092594U,2018-06,公司,广东省,A
CN209090288U,2018-06,公司,浙江省,A
CN209103640U,2018-06,公司,山东省,"['G', 'A']"
CN209100719U,2018-06,个人,广东省,F
CN209092085U,2018-06,个人,福建省,A
CN209091347U,2019-03,个人,贵州省,A
CN209089877U,2018-06,公司,四川省,A
CN209090017U,2018-05,公司,陕西省,A
CN209089356U,2018-06,公司,甘肃省,A
CN209091304U,2018-06,研究所,广东省,A
CN209098518U,2018-06,公司,福建省,C
CN209089873U,2018-06,工厂,浙江省,A
CN209092276U,2018-06,公司,广东省,A
CN209091138U,2018-06,学校,海南省,A
CN209093248U,2018-06,个人,天津市,B
CN209091276U,2018-06,公司,浙江省,A
CN209094109U,2018-06,公司,辽宁省,B
CN209092060U,2018-06,医院,江苏省,A
CN209092526U,2018-06,研究所,上海市,A
CN209103583U,2018-06,个人,北京市,G
CN209091770U,2018-06,个人,河南省,A
CN209093107U,2018-06,研究所,湖北省,B
CN209091192U,2018-06,研究所,浙江省,A
CN209091708U,2018-06,学校,贵州省,A
CN209090396U,2018-06,公司,广东省,A
CN209092178U,2018-06,学校,辽宁省,A
CN209091364U,2018-06,公司,浙江省,A
CN209090461U,2018-06,研究所,山东省,A
CN209090601U,2018-06,研究所,河南省,A
CN209093815U,2018-06,公司,江苏省,B
CN209094147U,2018-06,研究所,北京市,B
CN209095373U,2018-06,研究所,江西省,B
CN209102920U,2018-06,研究所,广东省,G
CN209092514U,2018-06,公司,浙江省,A
CN209097807U,2018-06,公司,广东省,B
CN209091357U,2018-06,公司,上海市,A
CN209089925U,2018-06,公司,湖北省,A
CN209101753U,2018-06,公司,广东省,F
CN209090469U,2018-06,公司,广东省,A
CN209090305U,2018-06,个人,福建省,A
CN209096610U,2018-06,个人,江西省,B
CN209091485U,2018-06,研究所,安徽省,A
CN209092202U,2018-06,个人,山西省,A
CN209093333U,2018-06,研究所,浙江省,B
CN209090829U,2018-06,公司,广东省,A
CN209097615U,2018-06,公司,广东省,B
CN209096188U,2018-06,公司,浙江省,B
CN209091559U,2018-06,公司,江苏省,A
CN209091683U,2018-06,个人,安徽省,A
CN209091593U,2018-06,个人,广东省,A
CN209091388U,2018-06,研究所,青海省,A
CN209090537U,2018-06,研究所,江苏省,A
CN209091332U,2018-06,个人,上海市,A
CN209091426U,2018-06,个人,湖北省,A
CN209103674U,2018-06,公司,安徽省,G
CN209095989U,2018-06,公司,浙江省,B
CN209091895U,2018-06,医院,江苏省,A
CN209091005U,2018-06,公司,山东省,A
CN209092298U,2018-06,个人,甘肃省,A
CN209091636U,2018-06,学校,贵州省,A
CN209093497U,2018-06,公司,广西壮族自治区,B
CN209092402U,2018-06,医院,江苏省,A
CN209090119U,2018-06,医院,浙江省,A
CN209092453U,2018-06,学校,陕西省,A
CN209090278U,2018-06,研究所,浙江省,A
CN209099142U,2018-06,个人,陕西省,E
CN209091162U,2018-06,公司,浙江省,A
CN209091392U,2018-06,研究所,广东省,A
CN209096068U,2018-06,公司,江苏省,B
CN209099879U,2018-06,公司,浙江省,E
CN209103619U,2018-06,研究所,吉林省,G
CN209090414U,2018-06,个人,山东省,A
CN209091417U,2018-06,医院,海南省,A
CN209090006U,2018-06,公司,河南省,A
CN209097674U,2018-06,公司,安徽省,"['B', 'H']"
CN209091281U,2018-06,研究所,广东省,A
CN209093893U,2018-06,公司,河南省,B
CN209100688U,2018-06,公司,山西省,F
CN209096951U,2018-06,学校,安徽省,B
CN209091912U,2018-06,个人,浙江省,A
CN209092300U,2018-06,研究所,江苏省,A
CN209091917U,2018-06,研究所,广东省,A
CN209105425U,2018-06,个人,广东省,H
CN209099880U,2018-06,公司,浙江省,E
CN209089942U,2018-06,公司,福建省,A
CN209089847U,2018-06,公司,浙江省,A
CN209090764U,2018-06,研究所,浙江省,A
CN209099805U,2018-06,公司,广东省,E
CN209102776U,2018-06,公司,浙江省,G
CN209103505U,2018-06,公司,浙江省,G
CN209091471U,2018-07,个人,山东省,A
CN209097931U,2018-07,公司,天津市,B
CN209092111U,2018-07,公司,浙江省,A
CN209093080U,2018-07,公司,山东省,B
CN209092246U,2018-07,学校,北京市,A
CN209105051U,2018-07,学校,广东省,H
CN209091283U,2018-06,公司,浙江省,A
CN209099859U,2018-07,公司,山东省,"['E', 'H']"
CN209103210U,2018-07,公司,上海市,G
CN209091006U,2018-07,公司,山东省,A
CN209090473U,2018-07,公司,浙江省,A
CN209101998U,2018-07,学校,重庆市,G
CN209091159U,2018-07,公司,浙江省,A
CN209101168U,2018-07,研究所,江苏省,F
CN209095753U,2018-07,公司,浙江省,B
CN209091794U,2018-07,个人,河南省,A
CN209103504U,2018-06,公司,浙江省,G
CN209090331U,2018-07,公司,广东省,A
CN209090769U,2018-07,公司,山东省,A
CN209091472U,2018-07,学校,江苏省,A
CN209092304U,2018-07,研究所,浙江省,"['A', 'G']"
CN209091135U,2018-07,研究所,天津市,A
CN209091376U,2018-07,医院,江苏省,A
CN209090771U,2018-07,公司,山东省,A
CN209093109U,2018-07,研究所,山东省,B
CN209097134U,2018-07,公司,浙江省,B
CN209091645U,2018-07,医院,上海市,A
CN209090250U,2018-07,学校,陕西省,A
CN209091959U,2018-07,医院,江苏省,A
CN209090484U,2018-07,个人,湖南省,A
CN209101062U,2018-07,公司,江西省,F
CN209093308U,2018-06,研究所,江西省,B
CN209092187U,2018-07,研究所,江苏省,A
CN209089944U,2018-07,公司,江西省,A
CN209091500U,2018-07,研究所,贵州省,A
CN209091501U,2018-07,个人,贵州省,A
CN209092020U,2018-07,研究所,浙江省,A
CN209098623U,2018-07,公司,安徽省,C
CN209089999U,2018-07,公司,陕西省,"['A', 'C']"
CN209091139U,2018-07,公司,福建省,A
CN209095758U,2018-07,公司,江苏省,B
CN209091889U,2018-07,公司,广东省,A
CN209093188U,2018-07,公司,广东省,B
CN209091711U,2018-07,研究所,湖南省,A
CN209092216U,2018-07,学校,陕西省,A
CN209105123U,2018-07,研究所,上海市,H
CN209094423U,2018-07,学校,山东省,B
CN209095951U,2018-07,学校,山西省,B
CN209094097U,2018-07,研究所,广东省,B
CN209092306U,2018-07,公司,广东省,A
CN209104686U,2018-07,个人,河北省,H
CN209091800U,2018-07,研究所,安徽省,A
CN209096037U,2018-07,公司,江苏省,B
CN209093770U,2018-07,公司,湖南省,B
CN209091638U,2018-07,个人,山东省,A
CN209090779U,2018-07,公司,山东省,A
CN209091600U,2018-07,个人,江西省,A
CN209093927U,2018-07,公司,江苏省,B
CN209094834U,2018-07,学校,甘肃省,B
CN209092063U,2018-07,研究所,安徽省,A
CN209089969U,2018-07,公司,陕西省,A
CN209098651U,2018-07,学校,陕西省,C
CN209092568U,2018-07,公司,湖南省,A
CN209090455U,2018-07,个人,浙江省,A
CN209097693U,2018-07,公司,河北省,"['B', 'H']"
CN209090711U,2018-07,公司,福建省,A
CN209090613U,2018-07,个人,浙江省,A
CN209092563U,2018-07,研究所,广东省,A
CN209092217U,2018-07,研究所,浙江省,A
CN209101252U,2018-07,学校,北京市,F
CN209103830U,2018-07,个人,山东省,"['G', 'F']"
CN209099254U,2018-07,个人,吉林省,E
CN209099846U,2018-07,研究所,广东省,E
CN209095445U,2018-07,公司,浙江省,B
CN209100342U,2018-07,公司,浙江省,F
CN209091037U,2018-07,公司,山东省,A
CN209097375U,2018-07,个人,浙江省,B
CN209100446U,2018-07,公司,浙江省,F
CN209091869U,2018-07,公司,河南省,A
CN209099924U,2018-07,研究所,北京市,E
CN209091014U,2018-07,公司,山东省,A
CN209092371U,2018-07,学校,广东省,A
CN209099626U,2018-07,研究所,广东省,E
CN209091473U,2018-07,医院,江苏省,A
CN209089937U,2018-07,学校,陕西省,A
CN209093039U,2018-07,研究所,湖南省,B
CN209098399U,2018-07,公司,上海市,C
CN209091038U,2018-07,公司,山东省,A
CN209090847U,2018-07,研究所,广东省,A
CN209098577U,2018-07,个人,香港特别行政区,C
CN209100660U,2018-07,研究所,江苏省,F
CN209090029U,2018-07,公司,广东省,A
CN209096095U,2018-07,公司,浙江省,B
CN209092339U,2018-07,个人,河北省,A
CN209101483U,2018-07,公司,广东省,F
CN209101484U,2018-07,公司,广东省,F
CN209103631U,2018-07,公司,河南省,G
CN209103635U,2018-07,公司,河南省,G
CN209093541U,2018-07,学校,广东省,B
CN209090717U,2018-07,公司,浙江省,A
CN209091341U,2018-07,医院,江苏省,A
CN209104986U,2018-07,公司,浙江省,H
CN209096446U,2018-07,公司,香港特别行政区,B
CN209098032U,2018-07,公司,江苏省,B
CN209099068U,2018-07,研究所,北京市,E
CN209092395U,2018-07,医院,江苏省,A
CN209091191U,2018-07,公司,广东省,A
CN209103652U,2018-07,学校,江苏省,G
CN209100517U,2018-07,公司,河南省,F
CN209093790U,2018-07,研究所,江苏省,B
CN209098797U,2018-07,研究所,浙江省,C
CN209093919U,2018-07,公司,安徽省,B
CN209103212U,2018-07,个人,安徽省,G
CN209093334U,2018-07,公司,江苏省,B
CN209090947U,2018-07,公司,山东省,A
CN209101556U,2018-07,公司,安徽省,F
CN209095755U,2018-07,个人,福建省,B
CN209099905U,2018-07,研究所,广东省,E
